,,group,group_method,group_gamification,project,lines,ncloc,comment_lines,classes,complexity,violations,blocker_violations,major_violations,minor_violations,info_violations,vulnerabilities,bugs,code_smells,duplicated_blocks,duplicated_lines,duplicated_lines_density,sqale_rating,sqale_index,sqale_debt_ratio,effort_to_reach_maintainability_rating_a,tests,test_success_density,coverage,line_coverage,branch_coverage,overall_branch_coverage,conditions_to_cover,overall_conditions_to_cover,comment_density,smells_density,code_to_test
49,1,2018-2019,gamification,ranking,2018-2019-tds-e1:p3,578,358,108,2,72,1,0,0,0,0,0,0,1,0,0,0,1,15,0.1,0,82,100,100,100,100,100,94,94,0.231759656652361,0.00279329608938547,0.229050279329609
50,2,2018-2019,gamification,ranking,2018-2019-tds-e10:p3,503,347,82,2,60,2,0,1,0,0,0,0,2,0,0,0,1,20,0.2,0,62,100,93.3,93.2,93.6,93.6,78,78,0.191142191142191,0.00576368876080692,0.178674351585014
51,3,2018-2019,gamification,ranking,2018-2019-tds-e11:p3,592,384,57,8,65,26,0,10,16,0,0,5,21,0,0,0,1,147,1.3,0,114,39.5,38.2,42.2,29.6,29.6,54,54,0.129251700680272,0.0546875,0.296875
52,4,2018-2019,gamification,ranking,2018-2019-tds-e12:p3,569,410,72,4,76,2,0,2,0,0,0,0,2,0,0,0,1,40,0.3,0,63,100,100,100,100,100,110,110,0.149377593360996,0.0048780487804878,0.153658536585366
53,5,2018-2019,gamification,ranking,2018-2019-tds-e2:p3,591,342,126,2,79,51,0,5,44,2,0,0,51,0,0,0,1,124,1.2,0,152,100,100,100,100,100,118,118,0.269230769230769,0.149122807017544,0.444444444444444
54,6,2018-2019,gamification,ranking,2018-2019-tds-e3:p3,852,411,239,2,87,4,0,1,3,0,0,0,4,0,0,0,1,19,0.2,0,259,100,98.6,98.8,98.2,98.2,110,110,0.367692307692308,0.0097323600973236,0.630170316301703
55,7,2018-2019,gamification,ranking,2018-2019-tds-e4:p3,654,400,119,2,79,12,0,9,0,0,0,0,12,0,0,0,1,108,0.9,0,66,100,89.1,92.2,84.9,84.9,106,106,0.229287090558767,0.03,165
56,8,2018-2019,gamification,ranking,2018-2019-tds-e5:p3,597,395,127,2,69,22,1,3,14,0,0,2,20,0,0,0,1,142,1.2,0,40,100,87.2,91,81.1,81.1,90,90,0.243295019157088,0.0506329113924051,0.10126582278481
57,9,2018-2019,gamification,ranking,2018-2019-tds-e6:p3,804,458,206,3,97,33,0,10,16,0,0,0,33,2,26,3.2,1,304,2.2,0,101,100,98.3,97.2,100,100,142,142,0.310240963855422,0.0720524017467249,0.220524017467249
58,10,2018-2019,gamification,ranking,2018-2019-tds-e7:p3,764,433,160,2,111,26,1,4,19,0,0,1,25,2,22,2.9,1,113,0.9,0,262,100,96.6,97.4,95.5,95.5,154,154,0.269814502529511,0.0577367205542725,0.605080831408776
59,11,2018-2019,gamification,ranking,2018-2019-tds-e8:p3,566,404,78,2,74,7,0,4,0,0,0,0,7,0,0,0,1,85,0.7,0,53,100,98,96.8,100,100,98,98,0.161825726141079,0.0173267326732673,0.131188118811881
60,12,2018-2019,gamification,ranking,2018-2019-tds-e9:p3,874,509,190,11,94,23,0,5,13,0,0,0,23,0,0,0,1,155,1,0,83,100,100,100,100,100,132,132,0.271816881258941,0.0451866404715128,0.163064833005894
61,13,2019-2020,gamification,live ranking,2019-2020-tds-e10:p3,710,509,102,2,139,31,0,25,4,1,0,1,30,2,40,5.6,1,243,1.6,0,250,100,97.7,100,95.5,95.5,220,220,0.166939443535188,0.0589390962671906,0.491159135559921
62,14,2019-2020,gamification,live ranking,2019-2020-tds-e11:p3,551,245,148,3,76,45,0,9,36,0,0,0,45,0,0,0,1,123,1.7,0,110,100,99.5,100,99,99,98,98,0.376590330788804,0.183673469387755,0.448979591836735
63,15,2019-2020,gamification,live ranking,2019-2020-tds-e12:p3,697,403,158,3,105,12,4,2,6,0,0,4,8,0,0,0,1,46,0.4,0,92,100,100,100,100,100,154,154,0.281639928698752,0.0198511166253102,0.228287841191067
64,16,2019-2020,gamification,live ranking,2019-2020-tds-e13:p3,766,425,185,3,119,24,0,11,12,0,0,0,24,2,29,3.8,1,202,1.6,0,176,100,100,100,100,100,186,186,0.30327868852459,0.0564705882352941,0.414117647058824
65,17,2019-2020,gamification,live ranking,2019-2020-tds-e14:p3,687,365,177,3,106,4,0,4,0,0,0,0,4,0,0,0,1,29,0.3,0,196,100,100,100,100,100,154,154,0.326568265682657,0.010958904109589,0.536986301369863
66,18,2019-2020,gamification,live ranking,2019-2020-tds-e15:p3,713,409,141,4,93,62,0,26,35,0,0,0,62,0,0,0,1,226,1.8,0,420,100,100,100,100,100,124,124,0.256363636363636,0.15158924205379,1.02689486552567
67,19,2019-2020,gamification,live ranking,2019-2020-tds-e16:p3,604,356,103,4,100,14,0,6,7,1,0,0,14,0,0,0,1,88,0.8,0,85,100,98.5,100,96.7,96.7,150,150,0.224400871459695,0.0393258426966292,0.23876404494382
68,20,2019-2020,gamification,live ranking,2019-2020-tds-e17:p3,627,333,157,3,81,21,0,13,8,0,0,0,21,0,0,0,1,120,1.2,0,129,100,98,100,95.3,95.3,106,106,0.320408163265306,0.0630630630630631,0.387387387387387
69,21,2019-2020,gamification,live ranking,2019-2020-tds-e18:p3,795,466,122,4,111,25,1,12,12,0,0,1,24,0,0,0,1,339,2.4,0,191,100,98.5,99.2,97.5,97.5,161,161,0.207482993197279,0.0515021459227468,0.409871244635193
70,22,2019-2020,gamification,live ranking,2019-2020-tds-e19:p3,608,329,142,3,111,58,0,11,47,0,0,0,58,0,0,0,1,154,1.6,0,191,100,100,100,100,100,150,150,0.301486199575372,0.17629179331307,0.580547112462006
